Ames, Bruce N. 
Arimura, Akira
Avruch, Joseph
Baldwin, Robert L. 
Beckman, Joseph S. 
Bell, Graeme I. 
Bell, Robert M. 
Benovic, Jeffery Lee
Birnbaumer, Lutz
Bohlen, Peter
Bouchard, Claude
Bourne, Henry R. 
Bredt, David S. 
Brown, Arthur M. 
Cantley, Lewis C. 
Caron, Marc G. 
Catt, Kevin J. 
Catterall, William A. 
Cech, Thomas R. 
Cerami, Anthony
Chomczynski, Piotr
Clemmons, David Robert
Clore, G. Marius
Codina-Salada, Juan
Cohen, Stanley
Crothers, Donald M. 
Cuatrecasas, Pedro
Czech, Michael P. 
Davis, Roger J. 
DeFronzo, Ralph A. 
DeLuca, Hector F. 
Devereux, John
Dixon, Jack E. 
Eisenberg, David
Esch, Fred
Evans, Ronald M. 
Exton, John H. 
Feinberg, Andrew P. 
Ferrara, Napoleone
Flier, Jeffrey S. 
Freeman, Bruce A. 
Fridovich, Irwin
Friedman, Jeffrey M. 
Fujimoto, E. K. 
Fukuda, Michiko
Gartner, Friedrich H. 
Gilman, Alfred G. 
Goeke, N. M. 
Goldberg, Alfred L. 
Gonzalez, Frank J. 
Gordon, Jeffrey I. 
Gospodarowicz, Denis
Gottesman, Michael M. 
Granger, Daniel Neil
Gronenborn, Angela M. 
Guengerich, F. Peter
Guillemin, Roger C. L. 
Habener, Joel Francis
Haeberli, P. 
Hakomori, Senitiroh
Hamill, Owen P. 
Hannun, Yusuf A. 
Hermanson, G. T. 
Holloszy, John Otto
Honig, Barry H
Hsueh, Aaron J. W. 
Inagami, Tadashi
Johnson, Gary L. 
Kahn, C. Ronald
Khorana, H. Gobind
Kim, Peter S. 
Klagsbrun, Michael
Kornfeld, Stuart
Krebs, Edwin G. 
Krieg, Paul A. 
Krohn, R. I. 
Kumar, Sanjay
Kunkel, Thomas A. 
Kyriakis, John M
Lapetina, Eduardo G. 
Lefkowitz, Robert J. 
LeRoith, Derek
Li, Wen-Hsiung
Ling, Nicholas
Lisanti, Michael P. 
Liu, Leroy F. 
Madden, Thomas L. 
Mahley, Robert W
Mallia, A. Krishna
Matthews, Brian W. 
Meister, Alton
Nei, Masatoshi
O'Malley, Bert W. 
Olefsky, Jerrold M. 
Olson, B. J. 
Packer, Lester
Pastan, Ira Harry
Pearson, William R. 
Pegg, Anthony E. 
Poenie, Martin F. 
Pratt, William B. 
Provenzano, Mark D. 
Putney, James W. 
Rasmussen, Howard
Reaven, Gerald M. 
Reiter, Russel J. 
Rhee, Sue Goo
Rich, Alexander
Rivier, Catherine
Rivier, Jean E. 
Rosen, Ora M. 
Rosenfeld, Ron G. 
Roth, Richard A. 
Saltiel, Alan R. 
Sancar, Aziz
Sander, Chris
Schäffer, Alejandro A. 
Shively, John E. 
Sigworth, Fred J. 
Simon, Melvin I. 
Smith, P. K. 
Smithies, Oliver
Sporn, Michael B. 
Steinberg, Daniel
Steitz, Thomas A. 
Stern, Michael P. 
Südhof, Thomas C. 
Thorner, Michael O. 
Tsien, Roger Y. 
Vale, Wylie W. 
Veldhuis, Johannes Dougles
Venter, J. Craig
Walsh, Christopher T. 
Wang, James C. 
Wells, James A. 
Welsh, Michael J. 
White, Morris F. 
Williamson, John R. 
Zhang, Jinghui
Zhang, Zheng
Bax, Adriaan
Karplus, Martin
Schreiber, Stuart L. 
Haffner, Steven M. 
Knowler, William C. 
Liotta, Lance A. 
Riggs, B. Lawrence
Felsenstein, Joseph
Koonin, Eugene V. 
Aaronson, Stuart A. 
Altschul, Stephen F. 
Brown, Michael S. 
Darnell, James E. 
Dixit, Vishva M. 
Doolittle, Russell F. 
Goeddel, David V. 
Goldstein, Joseph L. 
Green, Michael Richard
Hood, Leroy
Hunter, Tony
Karin, Michael
Klausner, Richard D. 
Kozak, Marilyn
Lipman, David J. 
Lodish, Harvey F. 
Maniatis, Thomas
Massagué, Joan
McCormick, Frank
Melton, Douglas A. 
Miller, Webb Colby
Prusiner, Stanley B. 
Reed, John C. 
Roberts, Anita B. 
Roeder, Robert Gayle
Rosenfeld, Michael G. 
Ruoslahti, Erkki
Rutter, William J. 
Schlessinger, Joseph
Tjian, Robert
Vogelstein, Bert E. 
Williams, Lewis T. 
Greengard, Paul
Snyder, Solomon H. 
Tsien, Richard W. 
Yanagisawa, Masashi
Alexander, R. Wayne
Antman, Elliott Marshall
Appelbaum, Frederick R. 
Armitage, James O. 
Armstrong, Donald
Balfour, Henry H. 
Barlogie, Bart
Barrett-Connor, Elizabeth
Bast, Robert C. 
Baylin, Stephen B. 
Blaser, Martin J. 
Blattner, William A. 
Bodey, Gerald Paul
Bonow, Robert Ogden
Braunwald, Eugene
Brennan, Murray F. 
Brenner, Barry M. 
Bristow, Michael R. 
Broder, Samuel
Brook, Robert H. 
Buckner, C. Dean
Califf, Robert M. 
Castelli, William P. 
Cerami, Anthony
Charney, Dennis Stuart
Chesebro, James H
Clark, Steven C. 
Cohn, Jay N. 
Colditz, Graham A. 
Cordon-Cardo, Carlos
Corey, Lawrence
Croce, Carlo M. 
Crystal, Ronald G. 
Cummings, Steven R. 
Deeg, H. Joachim
DeFronzo, Ralph A. 
Demetris, Anthony J. 
Devereux, Richard B. 
Dinarello, Charles A. 
Dzau, Victor J. 
Ellis, Stephen G. 
Epstein, Jonathan Ira
Epstein, Stephen E. 
Fauci, Anthony S. 
Fidler, Isaiah J. 
Fischl, Margaret A. 
